Number,Title,Author,Year,Publisher,Published City,ISBN,DOI
98,Pardaliparus venustulus: BirdLife International: The IUCN Red List of Threatened Species 2016: e.T22711795A94308646,IUCN,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22711795A94308646.en
99,Woodpeckers (Picidae),"Winkler, David W.; Billerman, Shawn M.; Lovette, Irby J.",,Cornell Lab of Ornithology,,,10.2173/bow.picida1.01
100,Chinese Thrush (Otocichla mupinensis),"Collar, Nigel",2020,Cornell Lab of Ornithology,,,10.2173/bow.chithr2.01
101,"Tawny Owl (Strix aluco), version 1.1","Holt, Denver W.; Berkley, Regan; Deppe, Caroline; Enríquez, Paula L.; Petersen, Julie L.; Rangel Salazar, José Luis; Segars, Kelley P.; Wood, Kristin L.; Marks, Jeffrey S.",,Cornell Lab of Ornithology,,,10.2173/bow.tawowl1.01.1
102,"Handbook of the birds of India and Pakistan: together with those of Bangladesh, Nepal, Bhutan and Sri Lanka","Ali, Salim; Ripley, S. Dillon",,Oxford University Press,New Delhi; Oxford,9.7802E+12,
103,Spilopelia chinensis: BirdLife International: The IUCN Red List of Threatened Species 2016: e.T60482887A95160992,IUCN,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T60482887A95160992.en
104,Picoides canicapillus: BirdLife International: The IUCN Red List of Threatened Species 2016: e.T22681068A92891484,IUCN,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22681068A92891484.en
105,Larus smithsonianus: BirdLife International: The IUCN Red List of Threatened Species 2019: e.T62030590A155596462,IUCN,2018,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2018-2.RLTS.T62030590A155596462.en
106,Catharacta maccormicki: BirdLife International: The IUCN Red List of Threatened Species 2018: e.T22694218A132533643,IUCN,2018,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2018-2.RLTS.T22694218A132533643.en
107,"Besra (Accipiter virgatus), version 1.0. ","Clark, W. S. and J. S. Marks",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.besra1.01
108,"Common Myna (Acridotheres tristis), version 1.0.","Kannan, R. and D. A. James ",2020,"Cornell Lab of Ornithology,","Ithaca, NY, USA",,10.2173/bow.commyn.01
109,Acrocephalus dumetorum. The IUCN Red List of Threatened Species 2017: e.T22714736A111098258. ,BirdLife International,2017,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2017-1.RLTS.T22714736A111098258.en
110,"Blyth's Reed Warbler (Acrocephalus dumetorum), version 1.0","Dyrcz, A. ",2020,Cornell Lab of Ornithology,"Ithaca, NY, USA",,10.2173/bow.blrwar1.01
111,Acrocephalus schoenobaenus. The IUCN Red List of Threatened Species 2016: e.T22714700A87569807. ,BirdLife International,2016,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2016-3.RLTS.T22714700A87569807.en.
112,Aviceda leuphotes. The IUCN Red List of Threatened Species 2021: e.T22694964A202412049.,BirdLife International,2021,International Union for Conservation of Nature,,,10.2305/IUCN.UK.2021-3.RLTS.T22694964A202412049.en. 
